id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,LAKI-LAKI,14,JIWA,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,PEREMPUAN,6,JIWA,2014
115,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,LAKI-LAKI,191,JIWA,2014
116,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,PEREMPUAN,107,JIWA,2014
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,LAKI-LAKI,146,JIWA,2014
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEONATAL,PEREMPUAN,81,JIWA,2014
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,LAKI-LAKI,9,JIWA,2014
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,PEREMPUAN,7,JIWA,2014
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,LAKI-LAKI,112,JIWA,2014
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,PEREMPUAN,71,JIWA,2014
123,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,LAKI-LAKI,86,JIWA,2014
124,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEONATAL,PEREMPUAN,51,JIWA,2014
125,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,LAKI-LAKI,5,JIWA,2014
126,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,PEREMPUAN,6,JIWA,2014
127,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,LAKI-LAKI,101,JIWA,2014
128,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,PEREMPUAN,83,JIWA,2014
129,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,LAKI-LAKI,81,JIWA,2014
130,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEONATAL,PEREMPUAN,60,JIWA,2014
131,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,LAKI-LAKI,11,JIWA,2014
132,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,PEREMPUAN,13,JIWA,2014
133,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,LAKI-LAKI,120,JIWA,2014
134,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,PEREMPUAN,82,JIWA,2014
135,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,LAKI-LAKI,81,JIWA,2014
136,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEONATAL,PEREMPUAN,49,JIWA,2014
137,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,LAKI-LAKI,8,JIWA,2014
138,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,PEREMPUAN,4,JIWA,2014
139,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,LAKI-LAKI,74,JIWA,2014
140,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,PEREMPUAN,64,JIWA,2014
141,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,LAKI-LAKI,56,JIWA,2014
142,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEONATAL,PEREMPUAN,52,JIWA,2014
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,LAKI-LAKI,1,JIWA,2014
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,PEREMPUAN,0,JIWA,2014
145,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,LAKI-LAKI,24,JIWA,2014
146,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,PEREMPUAN,27,JIWA,2014
147,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEONATAL,LAKI-LAKI,17,JIWA,2014
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEONATAL,PEREMPUAN,20,JIWA,2014
149,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,LAKI-LAKI,2,JIWA,2014
150,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,PEREMPUAN,6,JIWA,2014
151,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,LAKI-LAKI,33,JIWA,2014
152,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,PEREMPUAN,22,JIWA,2014
153,32,JAWA BARAT,3271,KOTA BOGOR,NEONATAL,LAKI-LAKI,28,JIWA,2014
154,32,JAWA BARAT,3271,KOTA BOGOR,NEONATAL,PEREMPUAN,17,JIWA,2014
155,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,LAKI-LAKI,4,JIWA,2014
156,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,PEREMPUAN,4,JIWA,2014
157,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,LAKI-LAKI,34,JIWA,2014
158,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,PEREMPUAN,15,JIWA,2014
159,32,JAWA BARAT,3272,KOTA SUKABUMI,NEONATAL,LAKI-LAKI,22,JIWA,2014
160,32,JAWA BARAT,3272,KOTA SUKABUMI,NEONATAL,PEREMPUAN,8,JIWA,2014
161,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,LAKI-LAKI,10,JIWA,2014
162,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,PEREMPUAN,6,JIWA,2014
163,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,LAKI-LAKI,20,JIWA,2014
164,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,PEREMPUAN,18,JIWA,2014
165,32,JAWA BARAT,3274,KOTA CIREBON,NEONATAL,LAKI-LAKI,16,JIWA,2014
166,32,JAWA BARAT,3274,KOTA CIREBON,NEONATAL,PEREMPUAN,12,JIWA,2014
167,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,LAKI-LAKI,8,JIWA,2014
168,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,PEREMPUAN,8,JIWA,2014
169,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,LAKI-LAKI,54,JIWA,2014
170,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,PEREMPUAN,29,JIWA,2014
171,32,JAWA BARAT,3276,KOTA DEPOK,NEONATAL,LAKI-LAKI,38,JIWA,2014
172,32,JAWA BARAT,3276,KOTA DEPOK,NEONATAL,PEREMPUAN,23,JIWA,2014
173,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,LAKI-LAKI,3,JIWA,2014
174,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,PEREMPUAN,1,JIWA,2014
175,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,LAKI-LAKI,39,JIWA,2014
176,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,PEREMPUAN,39,JIWA,2014
177,32,JAWA BARAT,3277,KOTA CIMAHI,NEONATAL,LAKI-LAKI,31,JIWA,2014
178,32,JAWA BARAT,3277,KOTA CIMAHI,NEONATAL,PEREMPUAN,29,JIWA,2014
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,LAKI-LAKI,12,JIWA,2014
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,PEREMPUAN,10,JIWA,2014
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,LAKI-LAKI,75,JIWA,2014
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,PEREMPUAN,72,JIWA,2014
183,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEONATAL,LAKI-LAKI,61,JIWA,2014
184,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEONATAL,PEREMPUAN,57,JIWA,2014
185,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,LAKI-LAKI,6,JIWA,2014
186,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,PEREMPUAN,5,JIWA,2014
187,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,LAKI-LAKI,22,JIWA,2014
188,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,PEREMPUAN,11,JIWA,2014
189,32,JAWA BARAT,3279,KOTA BANJAR,NEONATAL,LAKI-LAKI,15,JIWA,2014
190,32,JAWA BARAT,3279,KOTA BANJAR,NEONATAL,PEREMPUAN,4,JIWA,2014
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,3,JIWA,2015
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,3,JIWA,2015
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,103,JIWA,2015
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,96,JIWA,2015
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,LAKI-LAKI,84,JIWA,2015
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,PEREMPUAN,85,JIWA,2015
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,LAKI-LAKI,16,JIWA,2015
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,PEREMPUAN,24,JIWA,2015
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,LAKI-LAKI,243,JIWA,2015
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,PEREMPUAN,141,JIWA,2015
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEONATAL,LAKI-LAKI,206,JIWA,2015
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEONATAL,PEREMPUAN,99,JIWA,2015
203,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,LAKI-LAKI,0,JIWA,2015
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,PEREMPUAN,0,JIWA,2015
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,LAKI-LAKI,0,JIWA,2015
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,PEREMPUAN,0,JIWA,2015
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEONATAL,LAKI-LAKI,0,JIWA,2015
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEONATAL,PEREMPUAN,0,JIWA,2015
209,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,LAKI-LAKI,0,JIWA,2015
210,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,PEREMPUAN,2,JIWA,2015
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,LAKI-LAKI,94,JIWA,2015
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,PEREMPUAN,87,JIWA,2015
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,LAKI-LAKI,84,JIWA,2015
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEONATAL,PEREMPUAN,79,JIWA,2015
215,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,LAKI-LAKI,0,JIWA,2015
216,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,PEREMPUAN,0,JIWA,2015
217,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,LAKI-LAKI,0,JIWA,2015
218,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,PEREMPUAN,0,JIWA,2015
219,32,JAWA BARAT,3205,KABUPATEN GARUT,NEONATAL,LAKI-LAKI,0,JIWA,2015
220,32,JAWA BARAT,3205,KABUPATEN GARUT,NEONATAL,PEREMPUAN,0,JIWA,2015
